,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
604,1860,196118,Dixie Gleason,Mr,Male,1,Single,31,6/2/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2002
605,1861,196119,Mrs Emely Oberbrunner DVM,Mr,Male,1,Single,31,6/2/2021,1/3/2022,Inactive,1/3/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2002
606,1862,196120,Prof Viola Swaniawski,Mr,Male,1,Married,31,6/2/2021,6/16/2022,Inactive,6/16/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1994
607,1863,196121,Rollin Okuneva,Mr,Male,1,Married,31,6/3/2021,6/17/2022,Inactive,6/17/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958
608,1865,196123,Stephania Greenholt,Mr,Male,1,Married,31,6/3/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1962
609,1867,196125,Vanessa Wuckert,Mr,Male,1,Married,31,6/5/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1963
610,1873,196131,Gust Pagac,Mr,Male,1,Married,30,6/14/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1998
611,1874,196132,Hulda Wolf,Ms,Male,1,Single,31,6/14/2021,2/23/2022,Inactive,2/23/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
612,1878,196136,Miss Viola Collins DDS,Mr,Male,1,Married,55,6/14/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1998
613,1881,196138,Rhett Haley,Mr,Male,1,Married,31,6/15/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971
614,1886,1795024,Braxton Volkman,Ms,Male,1,Married,31,6/18/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968
615,1890,1795026,Clotilde Boyer III,Mr,Male,3,Married,31,6/21/2021,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1978
616,1892,193145,Lelah Williamson,Mr,Male,1,Married,31,6/4/2021,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1962
617,1899,193156,Mr Lon Hackett,Mr,Male,1,Married,80,6/15/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Driver - cab,1965
618,1902,193159,Miss Clara Hessel I,Mr,Male,1,Married,31,6/17/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1965
619,1903,193160,Ms Nellie Bruen Jr,Mr,Male,1,Married,55,6/18/2021,6/4/2022,Inactive,6/4/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1961
620,1904,193161,Estella Heidenreich Jr,Ms,Female,1,Married,31,6/23/2021,3/16/2022,Inactive,3/16/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998
621,1906,193162,Emmitt Kling,Mr,Male,1,Married,31,6/7/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972
622,1909,193164,Adan Schimmel,Mr,Male,1,Married,31,6/2/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1962
623,1916,1795033,Miss Etha Hudson Sr,Mr,Male,1,Married,31,6/30/2021,3/26/2022,Inactive,3/26/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967
624,1917,1795034,Sage Lebsack,Miss,Male,1,Married,31,6/28/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983
625,1918,5285,Alverta Bode,Mr,Male,1,Married,90,6/18/2021,2/28/2022,Inactive,2/28/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant manager - HR,1990
626,1920,1795036,Cordelia Vandervort IV,Mr,Male,1,Married,124,6/28/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1974
627,1926,179034,Kayley Bosco,Mr,Male,1,Married,31,7/1/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1959
628,1931,5286,Micheal Reichel,Mr,Male,1,Single,33,6/29/2021,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1994
629,1932,193171,Blake Jast,Mr,Male,1,Married,124,7/2/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1969
630,1935,1795040,Dolores Kerluke,Mr,Male,1,Single,31,7/5/2021,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
631,1936,196139,Golda Bogan,Mr,Male,1,Married,24,7/1/2021,2/26/2022,Inactive,2/26/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1988
632,1938,193168,Garrett Stiedemann,Mr,Male,1,Married,124,6/1/2021,6/4/2022,Inactive,6/4/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,0
633,1941,196141,Miss Melyssa Moore DVM,Mr,Male,1,Single,31,7/8/2021,2/23/2022,Inactive,2/23/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
634,1947,179037,Daphne Harris,Ms,Female,1,Single,125,7/12/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1998
635,1952,50037,Dahlia Mueller,Mr,Male,1,Married,167,4/1/2021,6/30/2022,Inactive,6/30/2022,\N,\N,Management,Contarct Basis,Buddhist,IT Consultant,1993
636,1954,1795042,Shanel Kris DVM,Mr,Male,1,Married,31,7/14/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1954
637,1955,179039,Yesenia Dickens Jr,Mr,Male,1,Single,139,7/15/2021,4/21/2022,Inactive,4/21/2022,\N,\N,Labour,Contarct Basis,Buddhist,Surveyor Helper,1995
638,1957,5300,Zella Macejkovic,Ms,Female,1,Single,112,7/15/2021,11/30/2022,Inactive,11/30/2022,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Executive,1998
639,1959,5302,Claud Nolan,Mr,Male,1,Married,49,7/14/2021,\N,Active,\N,545,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1991
640,1960,5303,Dejah Prosacco,Mr,Male,1,Married,24,7/7/2021,10/1/2021,Inactive,10/1/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1975
641,1961,5304,Terrence Weimann,Mr,Male,5,Single,89,7/12/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Muslim,Planning Engineer,1994
642,1962,5305,Mrs Theresia Stokes DVM,Mr,Male,1,Married,7,7/16/2021,7/21/2021,Inactive,7/21/2021,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1979
