,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
717,2123,1795101,Karley Jerde,Mr,Male,1,Single,31,9/10/2021,2/11/2022,Inactive,2/11/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997
718,2124,50041,Elmore Rutherford,Mr,Male,1,Married,33,9/1/2021,3/14/2022,Inactive,3/14/2022,2124,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1950
719,2126,203002,Duane Tromp III,Mr,Male,1,Married,24,9/1/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1987
720,2127,203003,Dr Sammie Volkman,Mr,Male,1,Single,31,9/1/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999
721,2132,1795102,Yoshiko Leannon,Mr,Male,1,Married,124,9/13/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1958
722,2133,1795103,Mrs Marianna Shields,Mr,Male,1,Married,124,9/13/2021,4/10/2022,Inactive,4/10/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1973
723,2134,5341,Jewell Hoppe II,Mr,Male,5,Single,89,9/13/2021,9/14/2021,Inactive,9/14/2021,\N,\N,Staff,Contarct Basis,Muslim,Planning Engineer,1994
724,2135,5342,Eula Welch,Mr,Male,1,Married,22,9/13/2021,\N,Active,\N,2631,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1993
725,2136,51019,Danielle Crona,Mr,Male,1,Married,173,9/6/2021,1/1/2022,Inactive,1/1/2022,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Safety Officer,1995
726,2137,1795104,Prof Shanel Hilpert III,Mr,Male,1,Single,31,9/14/2021,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977
727,2138,1795105,Monroe Tremblay DDS,Mr,Male,1,Married,31,9/14/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
728,2140,198128,Hubert Schneider,Mr,Male,1,Married,41,9/1/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Electrician,1968
729,2142,198130,Brenda Denesik,Mr,Male,1,Single,41,9/13/2021,4/8/2022,Inactive,4/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Electrician,1979
730,2146,199078,Adolf White,Mr,Male,3,Single,31,9/15/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1996
731,2147,1795109,Avis Oberbrunner,Mr,Male,1,Married,1,9/16/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,0
732,2148,1795110,Prof Eric Lowe,Mr,Male,4,Married,1,9/16/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Catholic,Skilled Labor,0
733,2150,1795112,Prof Coralie Reichel DVM,Mr,Male,3,Single,31,9/17/2021,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,0
734,2153,1795115,Melvina Rowe,Mr,Male,1,Married,31,9/21/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
735,2158,198131,Talia Bergstrom,Mr,Male,1,Married,30,9/8/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1970
736,2159,193180,Aracely Wisozk,Mr,Male,1,Married,43,9/15/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1994
737,2160,1795116,Dr Orland Ryan,Mr,Male,1,Single,31,9/16/2021,5/19/2022,Inactive,5/19/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995
738,2161,5343,Rene Mitchell,Mr,Male,1,Single,7,9/10/2021,12/18/2022,Inactive,12/18/2022,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,2000
739,2162,5344,Maida Barton DVM,Mr,Male,1,Married,158,9/13/2021,1/31/2022,Inactive,1/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1995
740,2163,5345,Brigitte Halvorson,Ms,Female,1,Married,17,9/21/2021,2/6/2022,Inactive,2/6/2022,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1989
741,2165,5347,Mrs Tamia Nolan III,Mr,Male,1,Married,158,9/27/2021,1/6/2022,Inactive,1/6/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1996
742,2166,196149,Dallin Macejkovic,Mr,Male,1,Single,195,9/27/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Data Coordinator,1999
743,2168,203006,Candace Ankunding PhD,Mr,Male,1,Married,129,9/13/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Stores Helper,1966
744,2193,1795118,Prof Oscar Fadel,Mr,Male,1,Married,31,10/5/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981
745,2195,193182,Valentin Toy,Mr,Male,1,Married,31,10/7/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970
746,2196,193183,Dr Lamont Murphy IV,Mr,Male,1,Single,31,10/4/2021,3/18/2022,Inactive,3/18/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
747,2197,5349,Freeda Rice IV,Mr,Male,1,Single,17,10/1/2021,11/1/2021,Inactive,11/1/2021,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1998
748,2200,1795119,Karina Predovic III,Mr,Male,1,Married,31,10/8/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961
749,2204,1795122,Gabriella Gleason,Mr,Male,1,Married,31,10/9/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968
750,2207,5351,Dr Katherine Kovacek,Mr,Male,1,Married,24,9/13/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1969
751,2208,5352,Ransom Grant,Mr,Male,1,Single,22,10/11/2021,\N,Active,\N,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
752,2209,5353,Judd Hartmann,Mr,Male,1,Single,22,10/11/2021,\N,Active,\N,2631,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
753,2210,5354,Mr Franco Friesen Jr,Ms,Female,1,Single,178,10/12/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Purchasing Officer,1996
754,2211,5355,Carol Weimann,Ms,Female,1,Single,178,10/12/2021,11/9/2021,Inactive,11/9/2021,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Purchasing Officer,1997
755,2214,1795125,Kaylie Von,Mr,Male,1,Married,31,10/13/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976
756,2216,193185,Karen Wolf,Mr,Male,1,Married,31,10/13/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993
757,2217,193186,Delilah Mueller,Mr,Male,1,Married,31,10/12/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961
758,2220,50042,Jay Buckridge,Ms,Female,3,Single,45,8/2/2021,\N,Active,\N,\N,\N,Management,Contarct Basis,Hindu,Construction Manager,1963
759,2221,1795126,Kendrick Runolfsson,Mr,Male,1,Married,124,10/14/2021,3/24/2022,Inactive,3/24/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1982
760,2225,5356,Gilbert Hermiston II,Mr,Male,1,Married,152,10/14/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Management,Contarct Basis,Buddhist,Manager Contract,1987
761,2228,198133,Emilie Klein,Mr,Male,1,Married,55,10/21/2021,2/28/2022,Inactive,2/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1974
762,2229,5357,Sheila Jakubowski,Mr,Male,1,Married,33,10/11/2021,10/24/2021,Inactive,10/24/2021,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1981
763,2230,1795128,Dr Adeline Rowe,Mr,Male,1,Married,31,10/22/2021,5/5/2022,Inactive,5/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
764,2231,1795129,Aimee Dach,Mr,Male,1,Single,31,10/22/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998
765,2233,5358,Lenore Nikolaus,Mr,Male,1,Married,24,10/18/2021,8/31/2022,Inactive,8/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1964
766,2236,5359,Craig Balistreri,Mr,Male,1,Single,180,10/25/2021,11/14/2021,Inactive,11/14/2021,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Manager Procurement,1983
767,2238,5361,Dr Bert Kozey,Mr,Male,1,Single,33,10/25/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1995
768,2246,179043,Enrico Vandervort,Mr,Male,1,Married,139,10/5/2021,4/28/2022,Inactive,4/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Surveyor Helper,1958
769,2247,197106,Alberto Wunsch,Mr,Male,1,Married,31,10/1/2021,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998
770,2250,197109,Emmanuel Koelpin,Mr,Male,1,Married,31,10/25/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972
771,2254,196151,Dr Eldora Hayes,Mr,Male,1,Married,29,10/1/2021,6/24/2022,Inactive,6/24/2022,\N,\N,Labour,Contarct Basis,Buddhist,Cook,0
772,2255,196152,Mr Zachery Romaguera,Mr,Male,1,Single,55,10/15/2021,2/25/2022,Inactive,2/25/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1983
773,2256,196153,Margaret Shanahan,Mr,Male,1,Single,31,10/19/2021,11/15/2021,Inactive,11/15/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003
774,2257,196154,Justyn Lindgren,Mr,Male,1,Single,31,10/19/2021,3/18/2022,Inactive,3/18/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2002
775,2258,198135,Anibal Hamill,Mr,Male,1,Married,4,10/27/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Bar Bender,1981
776,2259,188007,Dr Alicia Keebler,Mr,Male,1,Married,31,10/25/2021,4/25/2022,Inactive,4/25/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986
777,2260,188008,Osvaldo Runolfsson,Mr,Male,1,Married,31,10/25/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
778,2262,188010,Sophia Kunde IV,Mr,Male,1,Married,55,10/25/2021,4/25/2022,Inactive,4/25/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1997
779,2263,188011,Ayana Fritsch,Mr,Male,1,Married,31,10/25/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1975
780,2264,188012,Emely Lueilwitz,Mr,Male,1,Married,55,10/25/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1974
781,2265,188013,Dr Freddie Brakus,Mr,Male,4,Married,31,10/25/2021,4/6/2022,Inactive,4/6/2022,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,1964
782,2267,205001,Prof Wilfrid Renner,Mr,Male,1,Married,31,10/16/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1951
783,2268,205002,Loyce Botsford DDS,Ms,Male,1,Single,31,10/27/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996
784,2275,205003,Enrique Mayer,Mr,Male,1,Married,134,10/2/2021,1/13/2022,Inactive,1/13/2022,\N,\N,Labour,Contarct Basis,Buddhist,Caretaker,1953
785,2276,1795130,Duncan Schumm,Mr,Male,1,Married,30,11/1/2021,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1959
786,2277,51022,Prof Germaine Bergnaum DVM,Ms,Female,1,Single,70,11/1/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Operator,2001
787,2278,51023,Angus Hoeger Jr,Mr,Male,1,Married,181,11/1/2021,3/12/2022,Inactive,3/12/2022,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Engineer,1996
788,2279,195038,Velma Kiehn,Mr,Male,3,Married,31,10/26/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1982
789,2291,51024,Prof Mia Ebert,Mr,Male,1,Married,31,11/5/2021,1/27/2022,Inactive,1/27/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
790,2296,1795134,Ryley Dare,Mr,Male,1,Married,31,11/9/2021,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1990
791,2297,1795135,Morton Schaden,Mr,Male,1,Married,31,11/8/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
792,2299,1795137,Maida Gulgowski,Mr,Male,1,Married,31,11/9/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1960
793,2300,196155,Dr Nathaniel McDermott,Mr,Male,1,Married,31,11/4/2021,4/8/2022,Inactive,4/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1952
794,2301,196156,Annamae Haley,Mr,Male,1,Married,31,11/4/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981
795,2302,196157,Delfina Schmitt III,Mr,Male,1,Married,31,11/4/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991
796,2310,179044,Mr Freddy Kuhic PhD,Mr,Male,1,Single,139,11/10/2021,4/20/2022,Inactive,4/20/2022,\N,\N,Labour,Contarct Basis,Buddhist,Surveyor Helper,1997
797,2314,5366,Keely Gislason,Mr,Male,1,Married,24,11/11/2021,11/18/2021,Inactive,11/18/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1992
798,2320,198136,Kyler Fay,Mr,Male,1,Married,1,11/16/2021,2/9/2022,Inactive,2/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1990
799,2321,198137,Westley Hermann,Mr,Male,1,Married,31,11/16/2021,4/8/2022,Inactive,4/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992
800,2322,189070,Robin O'Connell,Mr,Male,1,Married,53,11/15/2021,2/20/2022,Inactive,2/20/2022,\N,\N,Labour,Contarct Basis,Buddhist,Pipe Fitter,2000
801,2324,1795139,Alycia Smitham,Mr,Male,1,Married,31,11/20/2021,2/1/2022,Inactive,2/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996
802,2325,5367,Humberto Hodkiewicz,Ms,Female,1,Single,48,11/15/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1993
803,2327,1795140,Theresa Bernier,Mr,Male,1,Married,31,11/23/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1973
804,2328,193194,Wallace Beier IV,Mr,Male,1,Single,31,11/22/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1994
805,2329,5368,Rosella Walker,Mr,Male,1,Married,83,11/22/2021,12/21/2022,Inactive,12/21/2022,\N,\N,Staff,Contarct Basis,Buddhist,Mechanical Engineer,1995
806,2330,50045,Domingo Raynor,Mr,Male,1,Married,58,11/15/2021,6/3/2022,Inactive,6/3/2022,\N,\N,Staff,Contarct Basis,Buddhist,Sociologist,1962
807,2331,1795141,Miss Bernice Jerde,Mr,Male,1,Married,31,11/24/2021,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1987
808,2332,203007,Dr Phyllis Hoppe DDS,Ms,Female,1,Married,31,11/10/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972
809,2333,1795142,Alize Bartoletti,Mr,Male,1,Married,31,11/26/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982
810,2334,1795143,Arthur Keebler,Mr,Male,1,Married,31,11/26/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1973
811,2337,1795146,Reuben Ebert,Mr,Male,1,Married,31,11/29/2021,2/15/2022,Inactive,2/15/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998
812,2339,5369,Prof Archibald Quitzon V,Mr,Male,1,Single,8,11/29/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1993
813,2341,198138,Leonie Effertz MD,Mr,Male,1,Married,31,11/29/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
814,2342,1795147,Omari Hintz,Mr,Male,1,Married,124,12/1/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1976
815,2343,1795148,Deja Smith,Mr,Male,1,Married,31,12/2/2021,3/26/2022,Inactive,3/26/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995
816,2346,5370,Prof Warren Bartell,Ms,Female,1,Single,17,12/1/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1993
817,2348,198140,Lucius Pfannerstill DDS,Mr,Male,1,Married,30,12/3/2021,2/28/2022,Inactive,2/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1996
818,2350,196158,Brandi Daniel Sr,Mr,Male,1,Single,31,12/6/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998
819,2360,198142,Cheyanne Mueller,Mr,Male,1,Married,30,12/9/2021,2/27/2022,Inactive,2/27/2022,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1985
820,2361,198143,Jaunita O'Connell,Mr,Male,1,Single,30,12/9/2021,2/27/2022,Inactive,2/27/2022,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,2001
821,2364,198146,Adella Walsh,Mr,Male,1,Single,30,12/10/2021,2/26/2022,Inactive,2/26/2022,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,2001
822,2368,51027,Lenore Price I,Mr,Male,1,Married,182,12/11/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Labour,1991
823,2369,201010,Ernest Dietrich DVM,Mr,Female,3,Single,184,12/11/2021,3/17/2022,Inactive,3/17/2022,\N,\N,Labour,Contarct Basis,Hindu,Lab Helper,0
824,2370,201011,Jade Kuphal,Mr,Male,1,Single,169,12/12/2021,11/16/2022,Inactive,11/16/2022,\N,\N,Labour,Contarct Basis,Buddhist,Bobcat Operator,0
825,2372,1795151,Dr Sally Ritchie I,Mr,Male,1,Single,31,12/14/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
826,2376,5372,Hillary Cronin,Mr,Male,1,Single,22,12/15/2021,\N,Active,\N,673,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1970
827,2379,5374,Leone Blick Sr,Mr,Male,1,Married,22,12/16/2021,2/12/2022,Inactive,2/12/2022,\N,\N,Labour,Contarct Basis,Buddhist,Technical Officer,1989
828,2380,193197,Dr Orpha Padberg,Mr,Male,1,Single,31,12/17/2021,5/17/2022,Inactive,5/17/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2006
829,2381,193196,Ike Williamson,Mr,Male,1,Married,31,12/13/2021,4/11/2022,Inactive,4/11/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971
830,2382,196160,Lesley Emmerich,Mr,Male,1,Married,43,12/15/2021,5/31/2022,Inactive,5/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,2000
831,2383,197110,Mazie Douglas,Mr,Male,1,Married,31,12/13/2021,3/14/2022,Inactive,3/14/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982
832,2384,5375,Kyler Bins,Mr,Male,1,Married,7,12/20/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1964
833,2386,199084,Richie Nitzsche I,Mr,Male,1,Married,1,12/15/2021,4/5/2022,Inactive,4/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1993
834,2387,199086,Mrs Jennifer Monahan PhD,Mr,Male,1,Single,30,12/18/2021,11/30/2022,Inactive,11/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1991
835,2388,199085,Gudrun Cruickshank,Mr,Male,3,Single,30,12/17/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,2000
836,2389,51029,Mr Ewell Mueller Sr,Mr,Male,1,Single,181,12/20/2021,3/12/2022,Inactive,3/12/2022,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Engineer,1999
837,2393,5377,Lorenza Deckow,Mr,Male,1,Single,27,12/23/2021,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Supervisor,1998
838,2394,193198,Rosie Kutch,Mr,Male,1,Married,55,12/20/2021,2/24/2022,Inactive,2/24/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1966
839,2396,197112,Leta Pfannerstill,Mr,Male,1,Single,31,12/23/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1989
840,2397,197111,Mr Maximus Lakin DDS,Mr,Male,1,Single,31,12/20/2021,3/2/2022,Inactive,3/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970
841,2398,197113,Prof Franz Dicki,Mr,Male,1,Single,55,12/1/2021,3/2/2022,Inactive,3/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1996
842,2399,198147,Prof Richmond Dooley III,Mr,Male,5,Single,31,12/27/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Muslim,Unskilled Labor,1996
843,2401,1975009,Ms Melba Walter,Mr,Male,1,Married,31,12/27/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
844,2404,1795153,Sim Abbott III,Mr,Male,1,Married,124,1/3/2022,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1965
845,2406,5379,Lavon Littel,Mr,Male,1,Married,186,12/7/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Surveyor,1979
846,2408,1795154,Vaughn Mills,Mr,Male,1,Married,31,1/4/2022,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
847,2410,199087,Mr Madyson Hammes III,Mr,Male,1,Married,95,12/20/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Welder,1974
848,2411,193199,Mr Hiram Homenick III,Mr,Male,1,Single,55,1/3/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1996
849,2427,5382,Dr Daryl Schaefer,Mr,Male,1,Single,33,1/3/2022,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1993
850,2428,5383,Dr Mariana Stiedemann DVM,Mr,Male,1,Married,187,1/1/2022,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Material Engineer,1983
851,2430,5385,Tillman Fadel,Mr,Male,1,Single,22,1/1/2022,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
852,2431,1935028,Tracy Sporer,Mr,Male,1,Single,31,1/6/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995
853,2432,202002,Ms Karianne Tromp,Mr,Male,1,Married,122,1/1/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Security,1970
854,2433,179046,Kennedi Sipes,Ms,Female,1,Single,125,1/6/2022,5/3/2022,Inactive,5/3/2022,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1998
855,2435,196162,Mr Rollin Koelpin III,Mr,Male,1,Married,31,1/6/2022,6/17/2022,Inactive,6/17/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976
856,2437,197114,Cydney Larson,Mr,Male,1,Married,55,1/6/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1961
857,2441,189072,Ophelia Konopelski III,Mr,Male,1,Married,31,1/10/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991
858,2446,51031,Prof Meda Gottlieb Jr,Mr,Male,1,Single,70,1/11/2022,7/26/2022,Inactive,7/26/2022,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Operator,1999
859,2447,1795156,Mr Julio Ledner II,Mr,Male,1,Married,31,1/13/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1988
860,2451,1935030,Dr Ben Skiles,Mr,Male,1,Single,31,1/11/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
861,2452,189074,Breanne Leuschke,Mr,Male,1,Single,31,1/13/2022,2/20/2022,Inactive,2/20/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
862,2453,206002,Cathrine Rogahn,Mr,Male,1,Single,139,1/3/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Surveyor Helper,1999
863,2454,206003,Lisandro Heidenreich IV,Mr,Male,1,Married,189,1/1/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Lab Assistant,1990
864,2455,206004,Prof Jovan Romaguera,Mr,Male,1,Single,189,1/1/2022,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Lab Assistant,1989
865,2457,51032,Florence Reichert,Mr,Male,1,Single,56,1/18/2022,2/12/2022,Inactive,2/12/2022,\N,\N,Labour,Contarct Basis,Buddhist,Helper,2002
866,2459,1795157,Tara Blick V,Mr,Male,1,Married,31,1/21/2022,4/10/2022,Inactive,4/10/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971
867,2460,193200,Maeve Mertz,Mr,Male,1,Married,31,1/5/2022,2/9/2022,Inactive,2/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1963
868,2461,5387,Prof Shane Heller Jr,Mr,Male,1,Single,22,1/1/2022,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1986
